num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorol?ico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2023S000001;01/01/2023;1:15:00;"AVDA. ALFONSO XIII, 33";33;5;CHAMART?N;Alcance;Despejado;Todo terreno;Conductor;De 55 a 59 a?s;Mujer;14;Sin asistencia sanitaria;"443397,166";"4478129,388";N;NULL
2023S000001;01/01/2023;1:15:00;"AVDA. ALFONSO XIII, 33";33;5;CHAMART?N;Alcance;Despejado;Todo terreno;Pasajero;De 21 a 24 a?s;Hombre;14;Sin asistencia sanitaria;"443397,166";"4478129,388";N;NULL
2023S000001;01/01/2023;1:15:00;"AVDA. ALFONSO XIII, 33";33;5;CHAMART?N;Alcance;Despejado;Todo terreno;Pasajero;De 21 a 24 a?s;Hombre;14;Sin asistencia sanitaria;"443397,166";"4478129,388";N;NULL
2023S000001;01/01/2023;1:15:00;"AVDA. ALFONSO XIII, 33";33;5;CHAMART?N;Alcance;Despejado;Todo terreno;Pasajero;De 21 a 24 a?s;Mujer;7;Asistencia sanitaria s?o en el lugar del accidente;"443397,166";"4478129,388";N;NULL
2023S000001;01/01/2023;1:15:00;"AVDA. ALFONSO XIII, 33";33;5;CHAMART?N;Alcance;Despejado;Todo terreno;Pasajero;De 55 a 59 a?s;Hombre;7;Asistencia sanitaria s?o en el lugar del accidente;"443397,166";"4478129,388";N;NULL
2023S000001;01/01/2023;1:15:00;"AVDA. ALFONSO XIII, 33";33;5;CHAMART?N;Alcance;Despejado;Turismo;Conductor;De 45 a 49 a?s;Mujer;14;Sin asistencia sanitaria;"443397,166";"4478129,388";S;NULL
2023S000001;01/01/2023;1:15:00;"AVDA. ALFONSO XIII, 33";33;5;CHAMART?N;Alcance;Despejado;Turismo;Conductor;De 65 a 69 a?s;Hombre;14;Sin asistencia sanitaria;"443397,166";"4478129,388";S;NULL
2023S000001;01/01/2023;1:15:00;"AVDA. ALFONSO XIII, 33";33;5;CHAMART?N;Alcance;Despejado;Turismo;Pasajero;De 65 a 69 a?s;Mujer;7;Asistencia sanitaria s?o en el lugar del accidente;"443397,166";"4478129,388";N;NULL
2023S000002;01/01/2023;1:50:00;CALL. ALCALA / CALL. JOSEFA VALCARCEL;638;20;SAN BLAS-CANILLEJAS;Colisi? fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 50 a 54 a?s;Hombre;14;Sin asistencia sanitaria;"448417,051";"4477830,879";N;NULL
2023S000002;01/01/2023;1:50:00;CALL. ALCALA / CALL. JOSEFA VALCARCEL;638;20;SAN BLAS-CANILLEJAS;Colisi? fronto-lateral;Despejado;Turismo;Conductor;De 50 a 54 a?s;Hombre;14;Sin asistencia sanitaria;"448417,051";"4477830,879";N;NULL
